product_key,batch_number,expiry_date,quantity,unit_cost
PVN4056,TON-DAU-SAPO,2030-12-31,10,14800
PVN4055,TON-DAU-SAPO,2030-12-31,1,4680
PVN4044,TON-DAU-SAPO,2030-12-31,1,28000
PVN4043,TON-DAU-SAPO,2030-12-31,48,7499.6125
PVN4042,TON-DAU-SAPO,2030-12-31,4,7500
PVN4041,TON-DAU-SAPO,2030-12-31,1,4545.455
PVN4040,TON-DAU-SAPO,2030-12-31,50,4426.319
PVN4039,TON-DAU-SAPO,2030-12-31,40,4509.902
PVN4038,TON-DAU-SAPO,2030-12-31,3,9500
PVN4031,TON-DAU-SAPO,2030-12-31,10,0
PVN4030,TON-DAU-SAPO,2030-12-31,6,19340
PVN4013,TON-DAU-SAPO,2030-12-31,16,17500
PVN4012,TON-DAU-SAPO,2030-12-31,1,27000
PVN4003,TON-DAU-SAPO,2030-12-31,1,19500
PVN4002,TON-DAU-SAPO,2030-12-31,14,5200
PVN4001,TON-DAU-SAPO,2030-12-31,6,10829.5447
PVN4000,TON-DAU-SAPO,2030-12-31,10,0
PVN3999,TON-DAU-SAPO,2030-12-31,5,49126.3459
PVN3998,TON-DAU-SAPO,2030-12-31,1,18648.98
PVN3994,TON-DAU-SAPO,2030-12-31,2,44848.485
PVN3993,TON-DAU-SAPO,2030-12-31,2,25000
PVN3991,TON-DAU-SAPO,2030-12-31,18,14200
PVN3990,TON-DAU-SAPO,2030-12-31,3,35800
PVN3988,TON-DAU-SAPO,2030-12-31,20,2800
PVN3987,TON-DAU-SAPO,2030-12-31,2,56667
PVN3984,TON-DAU-SAPO,2030-12-31,10,3400
PVN3980,TON-DAU-SAPO,2030-12-31,4,2560
PVN3978,TON-DAU-SAPO,2030-12-31,5,6400
PVN3976,TON-DAU-SAPO,2030-12-31,1,13650
PVN3975,TON-DAU-SAPO,2030-12-31,20,4800
PVN3974,TON-DAU-SAPO,2030-12-31,1,105000
PVN3972,TON-DAU-SAPO,2030-12-31,10,0
PVN3973,TON-DAU-SAPO,2030-12-31,2,0
PVN3968,TON-DAU-SAPO,2030-12-31,2,30000
PVN3965,TON-DAU-SAPO,2030-12-31,9,3000
PVN3964,TON-DAU-SAPO,2030-12-31,1,3200
PVN3960,TON-DAU-SAPO,2030-12-31,2,24986.015
PVN3952,TON-DAU-SAPO,2030-12-31,1,3299.7394
PVN3950,TON-DAU-SAPO,2030-12-31,2,38282.739
PVN3948,TON-DAU-SAPO,2030-12-31,1,60000
PVN3947,TON-DAU-SAPO,2030-12-31,4,58500
PVN3945,TON-DAU-SAPO,2030-12-31,4,45000
PVN3931,TON-DAU-SAPO,2030-12-31,1,68000
PVN3930,TON-DAU-SAPO,2030-12-31,1,175000
PVN3927,TON-DAU-SAPO,2030-12-31,4,3000
PVN3928,TON-DAU-SAPO,2030-12-31,0.4,30000
PVN3918,TON-DAU-SAPO,2030-12-31,1,42104.17
PVN3908,TON-DAU-SAPO,2030-12-31,1,72270.492
PVN3906,TON-DAU-SAPO,2030-12-31,73,400
PVN3907,TON-DAU-SAPO,2030-12-31,2.1471,13600
PVN3899,TON-DAU-SAPO,2030-12-31,40,3321.2
PVN3900,TON-DAU-SAPO,2030-12-31,2,68060
PVN3897,TON-DAU-SAPO,2030-12-31,5,14500
PVN3898,TON-DAU-SAPO,2030-12-31,0.5,145000
PVN3891,TON-DAU-SAPO,2030-12-31,34,4973.8576
PVN3892,TON-DAU-SAPO,2030-12-31,2.8333,60000
PVN3878,TON-DAU-SAPO,2030-12-31,19,22225
PVN3879,TON-DAU-SAPO,2030-12-31,4.75,88900
PVN3866,TON-DAU-SAPO,2030-12-31,1,132000
PVN3855,TON-DAU-SAPO,2030-12-31,2,27000
PVN3854,TON-DAU-SAPO,2030-12-31,1,16289.927
PVN3850,TON-DAU-SAPO,2030-12-31,3,0
PVN3841,TON-DAU-SAPO,2030-12-31,10,7237.8471
PVN3839,TON-DAU-SAPO,2030-12-31,1,70000
8936031641405,TON-DAU-SAPO,2030-12-31,1,108601.4411
PVN3836,TON-DAU-SAPO,2030-12-31,1,36894.703
PVN3828,TON-DAU-SAPO,2030-12-31,1,270000
PVN3816,TON-DAU-SAPO,2030-12-31,55,12000
PVN3817,TON-DAU-SAPO,2030-12-31,5.5,120000
PVN3815,TON-DAU-SAPO,2030-12-31,1,25000
PVN3809,TON-DAU-SAPO,2030-12-31,2,168000
PVN3806,TON-DAU-SAPO,2030-12-31,3.4,15278.2301
PVN3803,TON-DAU-SAPO,2030-12-31,2,120000
PVN3783,TON-DAU-SAPO,2030-12-31,1,6226.8285
PVN3776,TON-DAU-SAPO,2030-12-31,1,16666.667
PVN3777,TON-DAU-SAPO,2030-12-31,0.3333,48000
PVN3737,TON-DAU-SAPO,2030-12-31,2,13129.305
PVN3738,TON-DAU-SAPO,2030-12-31,0.3333,80514
PVN3733,TON-DAU-SAPO,2030-12-31,2,0
PVN3732,TON-DAU-SAPO,2030-12-31,2,69367.273
PVN3731,TON-DAU-SAPO,2030-12-31,4,30298.2059
PVN3725,TON-DAU-SAPO,2030-12-31,2,66666.667
PVN3722,TON-DAU-SAPO,2030-12-31,3,16384.616
PVN3712,TON-DAU-SAPO,2030-12-31,16,14863.591
PVN3693,TON-DAU-SAPO,2030-12-31,2,151032.448
PVN3692,TON-DAU-SAPO,2030-12-31,2,183270.2
PVN3676,TON-DAU-SAPO,2030-12-31,1,66000
PVN3664,TON-DAU-SAPO,2030-12-31,1,25000
PVN3653,TON-DAU-SAPO,2030-12-31,58,4250
PVN3652,TON-DAU-SAPO,2030-12-31,3,68666.667
PVN3650,TON-DAU-SAPO,2030-12-31,5,5400
PVN3651,TON-DAU-SAPO,2030-12-31,0.5,54000
PVN3645,TON-DAU-SAPO,2030-12-31,1,227075.566
PVN3633,TON-DAU-SAPO,2030-12-31,2,6635.7072
PVN3626,TON-DAU-SAPO,2030-12-31,1,0
PVN3597,TON-DAU-SAPO,2030-12-31,2,860
PVN3590,TON-DAU-SAPO,2030-12-31,6,7017.635
PVN3591,TON-DAU-SAPO,2030-12-31,2,23000
PVN3582,TON-DAU-SAPO,2030-12-31,9,4999.9967
PVN3578,TON-DAU-SAPO,2030-12-31,1,145000
PVN3559,TON-DAU-SAPO,2030-12-31,1,180000
PVN3553,TON-DAU-SAPO,2030-12-31,13,6451.038
PVN3548,TON-DAU-SAPO,2030-12-31,1,57205
PVN3538,TON-DAU-SAPO,2030-12-31,3,36667
PVN3525,TON-DAU-SAPO,2030-12-31,2,27530
PVN3526,TON-DAU-SAPO,2030-12-31,1,60000
PVN3519,TON-DAU-SAPO,2030-12-31,35,7599.9906
PVN3520,TON-DAU-SAPO,2030-12-31,3.5,76000
PVN3516,TON-DAU-SAPO,2030-12-31,8,4132.048
PVN3517,TON-DAU-SAPO,2030-12-31,0.8,42840
PVN3506,TON-DAU-SAPO,2030-12-31,1,16667
PVN3507,TON-DAU-SAPO,2030-12-31,0.25,66668
PVN3504,TON-DAU-SAPO,2030-12-31,4,34563.54
PVN3505,TON-DAU-SAPO,2030-12-31,2,68334
PVN3470,TON-DAU-SAPO,2030-12-31,1,83125.976
PVN3458,TON-DAU-SAPO,2030-12-31,2,0
PVN3457,TON-DAU-SAPO,2030-12-31,1,0
PVN3455,TON-DAU-SAPO,2030-12-31,9,0
PVN3445,TON-DAU-SAPO,2030-12-31,1,203749.404
PVN3424,TON-DAU-SAPO,2030-12-31,1,3000
PVN3423,TON-DAU-SAPO,2030-12-31,18,6989.1172
PVN3419,TON-DAU-SAPO,2030-12-31,27,5500
PVN3420,TON-DAU-SAPO,2030-12-31,2.7,55000
PVN3417,TON-DAU-SAPO,2030-12-31,2,8733.37
PVN3418,TON-DAU-SAPO,2030-12-31,0.6667,26932
PVN3416,TON-DAU-SAPO,2030-12-31,3,58817.171
PVN3400,TON-DAU-SAPO,2030-12-31,5,7000
PVN3401,TON-DAU-SAPO,2030-12-31,2.5,14000
PVN3391,TON-DAU-SAPO,2030-12-31,5,6000
PVN3392,TON-DAU-SAPO,2030-12-31,1.6667,18000
PVN3388,TON-DAU-SAPO,2030-12-31,4,27014.173
PVN3386,TON-DAU-SAPO,2030-12-31,1,225000
PVN3372,TON-DAU-SAPO,2030-12-31,1,0
PVN3358,TON-DAU-SAPO,2030-12-31,1,0
PVN3355,TON-DAU-SAPO,2030-12-31,1,100000
PVN3352,TON-DAU-SAPO,2030-12-31,3,15000
PVN3335,TON-DAU-SAPO,2030-12-31,7,9802.6951
PVN3333,TON-DAU-SAPO,2030-12-31,50,3900
PVN3334,TON-DAU-SAPO,2030-12-31,1,195000
PVN3329,TON-DAU-SAPO,2030-12-31,1,57750
PVN3320,TON-DAU-SAPO,2030-12-31,4,23333
PVN3321,TON-DAU-SAPO,2030-12-31,1.3333,69999
PVN3298,TON-DAU-SAPO,2030-12-31,1,19307.693
PVN3286,TON-DAU-SAPO,2030-12-31,2,106167.947
PVN3273,TON-DAU-SAPO,2030-12-31,20,1995
PVN3274,TON-DAU-SAPO,2030-12-31,0.8333,47880
PVN3267,TON-DAU-SAPO,2030-12-31,8,32430.5203
PVN3268,TON-DAU-SAPO,2030-12-31,2.6667,98600
PVN3263,TON-DAU-SAPO,2030-12-31,5,3563.9593
PVN3264,TON-DAU-SAPO,2030-12-31,0.25,75000
PVN3259,TON-DAU-SAPO,2030-12-31,9,19532.9993
PVN3260,TON-DAU-SAPO,2030-12-31,3,58599
PVN3255,TON-DAU-SAPO,2030-12-31,2,0
PVN3253,TON-DAU-SAPO,2030-12-31,1,210000
PVN3248,TON-DAU-SAPO,2030-12-31,1,33507.3322
PVN3236,TON-DAU-SAPO,2030-12-31,1,7571.429
PVN3221,TON-DAU-SAPO,2030-12-31,3,6000.0381
PVN3222,TON-DAU-SAPO,2030-12-31,1,30000
PVN3216,TON-DAU-SAPO,2030-12-31,1,53000
PVN3206,TON-DAU-SAPO,2030-12-31,30,499.258
PVN3207,TON-DAU-SAPO,2030-12-31,0.75,17000
PVN3203,TON-DAU-SAPO,2030-12-31,1,100000
PVN3196,TON-DAU-SAPO,2030-12-31,5,27000
PVN3179,TON-DAU-SAPO,2030-12-31,1,4500
PVN3180,TON-DAU-SAPO,2030-12-31,0.1,45000
PVN3155,TON-DAU-SAPO,2030-12-31,5,3114.276
PVN3156,TON-DAU-SAPO,2030-12-31,0.125,135500
PVN3144,TON-DAU-SAPO,2030-12-31,2,191562.5
PVN3139,TON-DAU-SAPO,2030-12-31,2,150000
PVN3140,TON-DAU-SAPO,2030-12-31,0.6667,450000
PVN3137,TON-DAU-SAPO,2030-12-31,10,5964.018
PVN3138,TON-DAU-SAPO,2030-12-31,1,60000
PVN3114,TON-DAU-SAPO,2030-12-31,1,7000
PVN3078,TON-DAU-SAPO,2030-12-31,1,57309.144
PVN3061,TON-DAU-SAPO,2030-12-31,65,2950
PVN3062,TON-DAU-SAPO,2030-12-31,3.25,59000
PVN3048,TON-DAU-SAPO,2030-12-31,1,195000
PVN3036,TON-DAU-SAPO,2030-12-31,36,16129.8757
PVN3037,TON-DAU-SAPO,2030-12-31,3,194400
PVN3034,TON-DAU-SAPO,2030-12-31,6,28789.286
PVN3035,TON-DAU-SAPO,2030-12-31,2,124500
PVN3032,TON-DAU-SAPO,2030-12-31,4,28368.715
PVN3033,TON-DAU-SAPO,2030-12-31,1.3333,85750
PVN3029,TON-DAU-SAPO,2030-12-31,24,6000.9758
PVN3030,TON-DAU-SAPO,2030-12-31,2.4,59934
PVN3028,TON-DAU-SAPO,2030-12-31,3,99000
PVN3026,TON-DAU-SAPO,2030-12-31,5,12777.6499
PVN3022,TON-DAU-SAPO,2030-12-31,8,6062.5001
PVN3014,TON-DAU-SAPO,2030-12-31,57,2599.9255
PVN3015,TON-DAU-SAPO,2030-12-31,5.7,23000
PVN2986,TON-DAU-SAPO,2030-12-31,2,26167.939
PVN2974,TON-DAU-SAPO,2030-12-31,17,4800
PVN2975,TON-DAU-SAPO,2030-12-31,1.7,48000
PVN2964,TON-DAU-SAPO,2030-12-31,1,58200
PVN2953,TON-DAU-SAPO,2030-12-31,9,32143
PVN2947,TON-DAU-SAPO,2030-12-31,4,13126.296
PVN2948,TON-DAU-SAPO,2030-12-31,0.6667,71000
PVN2943,TON-DAU-SAPO,2030-12-31,4,7437.4366
PVN2944,TON-DAU-SAPO,2030-12-31,0.4,120000
PVN2935,TON-DAU-SAPO,2030-12-31,3,27852.695
PVN2936,TON-DAU-SAPO,2030-12-31,1,64000
PVN2934,TON-DAU-SAPO,2030-12-31,1,6000
PVN2932,TON-DAU-SAPO,2030-12-31,2,21518.624
PVN2933,TON-DAU-SAPO,2030-12-31,1,43000
PVN2920,TON-DAU-SAPO,2030-12-31,29,3744.4134
PVN2921,TON-DAU-SAPO,2030-12-31,1.381,87500
PVN2918,TON-DAU-SAPO,2030-12-31,146,154.0454
PVN2919,TON-DAU-SAPO,2030-12-31,1.46,28000
PVN2906,TON-DAU-SAPO,2030-12-31,3,22873.485
PVN2907,TON-DAU-SAPO,2030-12-31,1,68600
PVN2905,TON-DAU-SAPO,2030-12-31,2,52000
PVN2898,TON-DAU-SAPO,2030-12-31,3,30678.5717
PVN2899,TON-DAU-SAPO,2030-12-31,1,132000
PVN2892,TON-DAU-SAPO,2030-12-31,20,4774.33
PVN2893,TON-DAU-SAPO,2030-12-31,1,101000
PVN2888,TON-DAU-SAPO,2030-12-31,26,14000
PVN2889,TON-DAU-SAPO,2030-12-31,1.8571,196000
PVN2884,TON-DAU-SAPO,2030-12-31,36,20107.981
PVN2885,TON-DAU-SAPO,2030-12-31,7.2,108000
PVN2879,TON-DAU-SAPO,2030-12-31,1,103846
PVN2872,TON-DAU-SAPO,2030-12-31,3,7000
PVN2858,TON-DAU-SAPO,2030-12-31,1,50000
PVN2857,TON-DAU-SAPO,2030-12-31,2,20000
PVN2855,TON-DAU-SAPO,2030-12-31,2,49227.548
PVN2856,TON-DAU-SAPO,2030-12-31,1,100000
PVN2850,TON-DAU-SAPO,2030-12-31,9,27857
PVN2851,TON-DAU-SAPO,2030-12-31,3,72000
PVN2817,TON-DAU-SAPO,2030-12-31,3,26000
PVN2805,TON-DAU-SAPO,2030-12-31,1,284310
PVN2800,TON-DAU-SAPO,2030-12-31,10,1800
PVN2801,TON-DAU-SAPO,2030-12-31,0.2,90000
PVN2798,TON-DAU-SAPO,2030-12-31,18,2300
PVN2799,TON-DAU-SAPO,2030-12-31,1.8,26000
PVN2792,TON-DAU-SAPO,2030-12-31,10,25000
PVN2778,TON-DAU-SAPO,2030-12-31,20,9731.442
PVN2779,TON-DAU-SAPO,2030-12-31,1,195000
PVN2766,TON-DAU-SAPO,2030-12-31,2,22000
PVN2755,TON-DAU-SAPO,2030-12-31,4,19500
PVN2735,TON-DAU-SAPO,2030-12-31,12,2690.8449
PVN2736,TON-DAU-SAPO,2030-12-31,1.2,25000
PVN2726,TON-DAU-SAPO,2030-12-31,1,15741
PVN2722,TON-DAU-SAPO,2030-12-31,3,43702.3817
PVN2721,TON-DAU-SAPO,2030-12-31,72,5199.9986
PVN2711,TON-DAU-SAPO,2030-12-31,1,16000
PVN2704,TON-DAU-SAPO,2030-12-31,1,157000
PVN2702,TON-DAU-SAPO,2030-12-31,18,5368.7148
PVN2687,TON-DAU-SAPO,2030-12-31,255,524
PVN2685,TON-DAU-SAPO,2030-12-31,3,0
PVN2686,TON-DAU-SAPO,2030-12-31,1,0
PVN2658,TON-DAU-SAPO,2030-12-31,8.7,24093
PVN2659,TON-DAU-SAPO,2030-12-31,1.74,118125
PVN2649,TON-DAU-SAPO,2030-12-31,3,1940
PVN2646,TON-DAU-SAPO,2030-12-31,1,50000
PVN2630,TON-DAU-SAPO,2030-12-31,1,3300
PVN2600,TON-DAU-SAPO,2030-12-31,15,14720.9503
PVN2599,TON-DAU-SAPO,2030-12-31,1,18750
PVN2589,TON-DAU-SAPO,2030-12-31,1,79533.632
PVN2577,TON-DAU-SAPO,2030-12-31,7.4,23552.4314
PVN2574,TON-DAU-SAPO,2030-12-31,3,13387.6
PVN2575,TON-DAU-SAPO,2030-12-31,0.6,66938
PVN2548,TON-DAU-SAPO,2030-12-31,2,84330.6406
PVN2534,TON-DAU-SAPO,2030-12-31,2,29640.887
PVN2499,TON-DAU-SAPO,2030-12-31,2,15400
PVN2500,TON-DAU-SAPO,2030-12-31,0.2,109000
PVN2491,TON-DAU-SAPO,2030-12-31,1,4298.835
PVN2485,TON-DAU-SAPO,2030-12-31,2,135342.9755
PVN2484,TON-DAU-SAPO,2030-12-31,6,3900
PVN2460,TON-DAU-SAPO,2030-12-31,1,52000
PVN2459,TON-DAU-SAPO,2030-12-31,1,48600
PVN2458,TON-DAU-SAPO,2030-12-31,2,118600
PVN2453,TON-DAU-SAPO,2030-12-31,40,3768.182
PVN2454,TON-DAU-SAPO,2030-12-31,2,82900
PVN2450,TON-DAU-SAPO,2030-12-31,12,3260
PVN2440,TON-DAU-SAPO,2030-12-31,1,91019.713
PVN2438,TON-DAU-SAPO,2030-12-31,1,76000
PVN2430,TON-DAU-SAPO,2030-12-31,1,42500
PVN2431,TON-DAU-SAPO,2030-12-31,0.5,85000
PVN2425,TON-DAU-SAPO,2030-12-31,0.176,130000
PVN2417,TON-DAU-SAPO,2030-12-31,6,6465.0388
PVN2416,TON-DAU-SAPO,2030-12-31,6,2000
PVN2415,TON-DAU-SAPO,2030-12-31,2,34428.572
PVN2410,TON-DAU-SAPO,2030-12-31,6,16499.9983
PVN2393,TON-DAU-SAPO,2030-12-31,30,2539.863
PVN2394,TON-DAU-SAPO,2030-12-31,3,35000
PVN2385,TON-DAU-SAPO,2030-12-31,9,33421.2511
PVN2359,TON-DAU-SAPO,2030-12-31,3,21770.3627
PVN2352,TON-DAU-SAPO,2030-12-31,2,15636.364
PVN2349,TON-DAU-SAPO,2030-12-31,2,4500
PVN2350,TON-DAU-SAPO,2030-12-31,1,9000
PVN2348,TON-DAU-SAPO,2030-12-31,3,17000
PVN2347,TON-DAU-SAPO,2030-12-31,2,2720.9621
PVN2344,TON-DAU-SAPO,2030-12-31,13,7649.9586
PVN2341,TON-DAU-SAPO,2030-12-31,60,3995.0572
PVN2342,TON-DAU-SAPO,2030-12-31,6,41000
PVN2336,TON-DAU-SAPO,2030-12-31,4,63128.3805
PVN2332,TON-DAU-SAPO,2030-12-31,1,568500
PVN2324,TON-DAU-SAPO,2030-12-31,9,11313.984
PVN2325,TON-DAU-SAPO,2030-12-31,1.5,68000
PVN2322,TON-DAU-SAPO,2030-12-31,4,15000
PVN2323,TON-DAU-SAPO,2030-12-31,2,30000
PVN2318,TON-DAU-SAPO,2030-12-31,1,15000
PVN2319,TON-DAU-SAPO,2030-12-31,0.5,30000
PVN2287,TON-DAU-SAPO,2030-12-31,11,6000
PVN2273,TON-DAU-SAPO,2030-12-31,1,81000
PVN2263,TON-DAU-SAPO,2030-12-31,16,2681.401
PVN2261,TON-DAU-SAPO,2030-12-31,13,1657.6306
PVN2262,TON-DAU-SAPO,2030-12-31,1.3,17200
PVN2260,TON-DAU-SAPO,2030-12-31,9,13624.3584
PVN2257,TON-DAU-SAPO,2030-12-31,1,200000
PVN2253,TON-DAU-SAPO,2030-12-31,13,1490.91
PVN2250,TON-DAU-SAPO,2030-12-31,3,111000
PVN2242,TON-DAU-SAPO,2030-12-31,60,4155.8209
PVN2243,TON-DAU-SAPO,2030-12-31,2.3077,112000
PVN2239,TON-DAU-SAPO,2030-12-31,3,10166
PVN2240,TON-DAU-SAPO,2030-12-31,0.25,140000
PVN2237,TON-DAU-SAPO,2030-12-31,53,4473.3526
PVN2238,TON-DAU-SAPO,2030-12-31,2.12,112000
PVN2234,TON-DAU-SAPO,2030-12-31,1,8462.248
PVN2223,TON-DAU-SAPO,2030-12-31,18,2315.9346
PVN2215,TON-DAU-SAPO,2030-12-31,9,3891.711
PVN2214,TON-DAU-SAPO,2030-12-31,1,54000
PVN2212,TON-DAU-SAPO,2030-12-31,7,3666.9264
PVN2210,TON-DAU-SAPO,2030-12-31,3,61000
PVN2208,TON-DAU-SAPO,2030-12-31,5,12402.5932
PVN2209,TON-DAU-SAPO,2030-12-31,1.6667,26500
PVN2206,TON-DAU-SAPO,2030-12-31,9,636.5345
PVN2207,TON-DAU-SAPO,2030-12-31,0.18,27000
PVN2204,TON-DAU-SAPO,2030-12-31,15,3046.1097
PVN2205,TON-DAU-SAPO,2030-12-31,0.15,350000
PVN2203,TON-DAU-SAPO,2030-12-31,26,689
PVN2200,TON-DAU-SAPO,2030-12-31,14,4489.3455
PVN2197,TON-DAU-SAPO,2030-12-31,12,3249.9965
PVN2196,TON-DAU-SAPO,2030-12-31,2,2933
PVN2187,TON-DAU-SAPO,2030-12-31,175,80
PVN2188,TON-DAU-SAPO,2030-12-31,7,2000
PVN2180,TON-DAU-SAPO,2030-12-31,110,338.414
PVN2181,TON-DAU-SAPO,2030-12-31,11,5208
PVN2182,TON-DAU-SAPO,2030-12-31,1.1,37600
PVN2174,TON-DAU-SAPO,2030-12-31,3,13021.132
PVN2175,TON-DAU-SAPO,2030-12-31,1.5,25000
PVN2151,TON-DAU-SAPO,2030-12-31,210,698.1205
PVN2152,TON-DAU-SAPO,2030-12-31,6.1765,24000
PVN2149,TON-DAU-SAPO,2030-12-31,218,488.7501
PVN2150,TON-DAU-SAPO,2030-12-31,7.2667,16000
PVN2145,TON-DAU-SAPO,2030-12-31,189,300
PVN2146,TON-DAU-SAPO,2030-12-31,0.378,145000
PVN2130,TON-DAU-SAPO,2030-12-31,2,3600
PVN2131,TON-DAU-SAPO,2030-12-31,0.4,30000
PVN2123,TON-DAU-SAPO,2030-12-31,3,5000
PVN2124,TON-DAU-SAPO,2030-12-31,0.1,150000
PVN2114,TON-DAU-SAPO,2030-12-31,96,177.5569
PVN2115,TON-DAU-SAPO,2030-12-31,0.192,80000
PVN2108,TON-DAU-SAPO,2030-12-31,13,3593.9785
PVN2109,TON-DAU-SAPO,2030-12-31,2.6,17000
PVN2104,TON-DAU-SAPO,2030-12-31,26,3399.9933
PVN2105,TON-DAU-SAPO,2030-12-31,5.2,17000
PVN2089,TON-DAU-SAPO,2030-12-31,3,7649.8282
PVN2088,TON-DAU-SAPO,2030-12-31,8,7650
PVN2077,TON-DAU-SAPO,2030-12-31,6,5000
PVN2078,TON-DAU-SAPO,2030-12-31,1.2,25000
PVN2075,TON-DAU-SAPO,2030-12-31,489,696.878
PVN2076,TON-DAU-SAPO,2030-12-31,4.89,65000
PVN2074,TON-DAU-SAPO,2030-12-31,5,125213.8888
PVN2065,TON-DAU-SAPO,2030-12-31,12,4909.1532
PVN2062,TON-DAU-SAPO,2030-12-31,8,4999.998
PVN2061,TON-DAU-SAPO,2030-12-31,10,5385.0645
PVN2060,TON-DAU-SAPO,2030-12-31,164,3124.997
PVN2408,TON-DAU-SAPO,2030-12-31,6.8333,90000
PVN2059,TON-DAU-SAPO,2030-12-31,6,-0.0011
PVN2056,TON-DAU-SAPO,2030-12-31,13,3205.4081
PVN2055,TON-DAU-SAPO,2030-12-31,12,3213.9369
PVN2054,TON-DAU-SAPO,2030-12-31,1,12000
PVN2051,TON-DAU-SAPO,2030-12-31,5,3814.827
PVN2043,TON-DAU-SAPO,2030-12-31,64,614.4821
PVN2186,TON-DAU-SAPO,2030-12-31,16,2480
PVN2039,TON-DAU-SAPO,2030-12-31,27,8128.5674
PVN2040,TON-DAU-SAPO,2030-12-31,6.75,27500
PVN2029,TON-DAU-SAPO,2030-12-31,64,3603.3976
PVN2177,TON-DAU-SAPO,2030-12-31,2.56,136000
PVN2026,TON-DAU-SAPO,2030-12-31,14,6000
PVN2027,TON-DAU-SAPO,2030-12-31,1.4,60000
PVN2025,TON-DAU-SAPO,2030-12-31,200,226.2759
PVN2176,TON-DAU-SAPO,2030-12-31,2,22000
PVN2023,TON-DAU-SAPO,2030-12-31,18,18328.0447
PVN2024,TON-DAU-SAPO,2030-12-31,1.8,165000
PVN2019,TON-DAU-SAPO,2030-12-31,5,4000
PVN2020,TON-DAU-SAPO,2030-12-31,2.5,8000
PVN2016,TON-DAU-SAPO,2030-12-31,3,17361.111
PVN2012,TON-DAU-SAPO,2030-12-31,6,76091.8737
PVN2010,TON-DAU-SAPO,2030-12-31,5,18000
PVN2008,TON-DAU-SAPO,2030-12-31,4,132477.0235
PVN2005,TON-DAU-SAPO,2030-12-31,15,6499.9964
PVN2002,TON-DAU-SAPO,2030-12-31,1,21400
PVN2001,TON-DAU-SAPO,2030-12-31,12,7880.109
PVN1979,TON-DAU-SAPO,2030-12-31,4,7416.667
PVN1980,TON-DAU-SAPO,2030-12-31,2,15000
PVN1977,TON-DAU-SAPO,2030-12-31,2,16507.7767
PVN1978,TON-DAU-SAPO,2030-12-31,0.3333,100800
PVN1971,TON-DAU-SAPO,2030-12-31,3,66561.482
PVN1972,TON-DAU-SAPO,2030-12-31,0.6,355800
PVN1970,TON-DAU-SAPO,2030-12-31,9,4600
PVN1968,TON-DAU-SAPO,2030-12-31,5,76838.1742
PVN1969,TON-DAU-SAPO,2030-12-31,1.6667,240000
PVN1966,TON-DAU-SAPO,2030-12-31,24,555.567
PVN1967,TON-DAU-SAPO,2030-12-31,0.8,16667
PVN1964,TON-DAU-SAPO,2030-12-31,47,686.265
PVN1965,TON-DAU-SAPO,2030-12-31,1.3824,23333
PVN1954,TON-DAU-SAPO,2030-12-31,9,28761.5849
PVN1949,TON-DAU-SAPO,2030-12-31,9,21794.112
PVN1944,TON-DAU-SAPO,2030-12-31,14,8066.9031
PVN1945,TON-DAU-SAPO,2030-12-31,0.7,175000
