product_code,product_name,generic_name,barcode,sale_unit_name,retail_price,min_stock_qty,category_code,brand_code,drug_type
PVN4081,Lameldo,,8938506799123,Vỉ,20000,,,,1
PVN4080,Vitamin C Mejybes,,8938504863253,Vỉ,20000,,,,1
PVN4079,Oralegic 60mg/10ml,,8936098963496,Vỉ,60000,,,,1
PVN4078,Viên tiểu đêm Oxy,,8938554347765,Lọ,150000,,,,1
PVN4077,Oxy Beauty E,,8938554347239,Lọ,200000,,,,1
PVN4076,Systane Oxy,,8938554347840,Lọ,50000,,,,1
PVN4075,Men vi sinh Probio,,8938544962152,Ống,8000,,,,1
PVN4074,NexGcal Gold,,8936116601829,Lọ,200000,,,,1
PVN4073,Omega 369 oxy,,PVN4073,Lọ,150000,,,,1
PVN4072,Nano nghệ Hàn,,PVN4072,Hộp,950000,,,,1
PVN4071,Bông tẩy trang Alucos - khăn rút,,PVN4071,Gói,70000,,,,1
PVN4070,Sét Yến Sào không đường,,PVN4070,Sét,300000,,,,1
PVN4069,Kodemin,,8936008134695,Vỉ,20000,,,,1
PVN4068,Livega Plus,,7936105661293,Vỉ,12500,,,,1
PVN4067,Thanh phong thảo,,PVN4067,Vỉ,15000,,,,1
PVN4066,Viên dưỡng khớp Sunbone,,PVN4066,Lọ,280000,,,,1
PVN4065,Huyết Giác Đan,,PVN4065,Vỉ,30000,,,,1
PVN4064,Zin Vita - Oxy,,8938554347871,Ống,7500,,,,1
PVN4063,DDVS oxy Queen,,8938554347253,Lọ,80000,,,,1
PVN4062,Joint - UK,,5065020959030,Lọ,550000,,,,1
PVN4061,Viên vai gáy Oxy,,8938554347147,Lọ,150000,,,,1
PVN4060,Liver - uk,,5065020959023,Lọ,450000,,,,1
PVN4059,An Thần ngủ ngon Richer,,8936080700405,Vỉ,30000,,,,1
PVN4058,Bao Lì xì,,PVN4058,Tệp,0,,,,1
PVN4057,Dung dịch VS Milux,,8936226080118,Lọ,70000,,,,1
PVN4056,Sâm nước Dacoton,,8936226081696,Gói,15000,,,,1
PVN4055,Slocol,,8935206094633,Vỉ,10000,,,,1
PVN4054,Dầu Gohnson 50ml,,4801010125303,Lọ,50000,,,,1
PVN4053,Metswift XR 500,,PVN4053,Vỉ,20000,,,,1
PVN4052,Medi - Loratadin,,8936134270427,Vỉ,10000,,,,1
PVN4051,Montelukast Soha 4,,8938549594464,Gói,10000,,,,1
PVN4050,Trazolin 5ml,,8936218615410,Lọ,30000,,,,1
PVN4049,Vitamin E - Gia Thuận,,8936197661385,Vỉ,30000,,,,1
PVN4048,Miczon Blue,,8938555846076,Vỉ,7000,,,,1
PVN4047,Bao Luxury 001,,PVN4047,Hộp,50000,,,,1
PVN4046,Kamismile Gel,,PVN4046,Tub,35000,,,,1
PVN4045,Baby Panthenol,,8938532290328,Tub,45000,,,,1
PVN4044,Demovac 15g,,8936206610953,Tub,35000,,,,1
PVN4043,Arginin Plus - GT,,8936197661071,Vỉ,12500,,,,1
PVN4042,Thanh phế an,,8938556008091,Vỉ,10000,,,,1
PVN4041,Tracefem - levo,,PVN4041,Hộp,20000,,,,1
PVN4040,Ích nhi - chất xơ,,8935092203270,Gói,6500,,,,1
PVN4039,Nin Felic Kid,,8935092206035,gói,6000,,,,1
PVN4038,Aciclovir - Ficyc 5g,,8901699004374,Tub,15000,,,,1
PVN4037,Xịt Live Spo Navax,,8938540717350,Lọ,129000,,,,1
PVN4036,Xuyên bối mẫu Tỳ bà cao,,8936098710182,Lọ,50000,,,,1
PVN4035,Dưỡng thể Vaselin xanh,,8851932439756,Tub,145000,,,,1
PVN4034,Kem nắng Torriden,,8809784603948,Tub,290000,,,,1
PVN4032,Dưỡng thể Vaselin Hồng,,PVN4032,Tub,150000,,,,1
PVN4031,Miếng dán ho Stopho,,8936189600682,Túi,15000,,,,1
PVN4030,Rutin C - TD,,8938549361158,Vỉ,30000,,,,1
PVN4029,Viên uống Black walflex Biotin,,8938549361448,Lọ,180000,,,,1
PVN4028,Mát gan thanh nhiệt Plus,,8938554225155,Ống,5000,,,,1
PVN4027,Fe Hemoron,,8938549361295,Lọ,120000,,,,1
PVN4026,Thuốc ho Nam Dược,,8935092202563,Lọ,60000,,,,1
PVN4025,Fentizol - Novofenti AD,,,Vỉ,100000,,,,1
PVN4024,Nacl - Nam Hà,,PVN4024,Lọ,4000,,,,1
PVN4023,Oxy BTK H9000,,8938554347376,Vỉ,40000,,,,1
PVN4022,Kem mụn Deneem,,8608720966044,Tub,70000,,,,1
PVN4021,Sữa rửa mặt SAT Nano,,PVN4021,Tub,30000,,,,1
PVN4020,Dán thải độc gan bàn chân,,6975244801499,Hộp,50000,,,,1
PVN4019,Kem ngày Eaoron,,9348107001256,Lọ,250000,,,,1
PVN4018,Estrogen Eva,,8936154540654,Lọ,300000,,,,1
PVN4017,Bổ thận hoàn - Tùng Lộc,,8935042300691,Lọ,275000,,,,1
PVN4016,Cri Sun,,8936102642843,Lọ,180000,,,,1
PVN4015,Shine Ginko 120mg,,8936102643116,Vỉ,25000,,,,1
PVN4014,Bổ phế bướm bạc - ống,,8936102642805,Ống,6000,,,,1
PVN4013,Nano Zin C,,8936102643109,Vỉ,20000,,,,1
PVN4012,Rutin Oxy,,PVN4012,Vỉ,30000,,,,1
PVN4011,Acetylcystein soha 100,,8938549594884,Gói,2000,,,,1
PVN4009,Xylitol - viên,,PVN4009,Cái,1000,,,,1
PVN4008,Antacil,,PVN4008,Vỉ,6000,,,,1
PVN4007,Bàn chải Sachi,,8938546397334,Cái,40000,,,,1
PVN4006,Talert 60ml,,3800010649247,Lọ,50000,,,,1
PVN4005,Sohaibu - Ibuprofen,,8938549594334,Ống,5000,,,,1
PVN4004,Miếng dán hổ,,8934935012284,Gói,35000,,,,1
PVN4003,Xịt Dr. Kune,,8936039013518,Lọ,30000,,,,1
PVN4002,Vitamin A-D,,8935076096638,Vỉ,10000,,,,1
PVN4001,Fexophar 180 mg,,8935076053525,Vỉ,24000,,,,1
PVN4000,Multivitamin Plus,,8938554225049,Ống,6000,,,,1
PVN3999,Curam 1000mg,,PVN3999,Vỉ,80000,,,,1
PVN3998,Halixol - vỉ,,PVN3998,vỉ,25000,,,,1
PVN3997,Betaphenin,,8934901110037,Vỉ,10000,,,,1
PVN3996,Xịt thơm miệng Dentiplus,,5020535009489,Lọ,100000,,,,1
PVN3995,Siro ăn ngon Kidbibi,,8936065625198,Ống,10000,,,,1
PVN3994,Contussin 100ml,,8934901830140,Lọ,50000,,,,1
PVN3993,Azka 10ml,,8938515953325,Lọ,35000,,,,1
PVN3992,Fe Nacopha -Lọ,,8938549661203,Lọ,160000,,,,1
PVN3991,Fe Iron III,,8938549661531,Vỉ,30000,,,,1
PVN3990,Xịt họng Keo ong Nano Bạc,,8936204311456,Lọ,80000,,,,1
PVN3989,Phariton TVP,,https://phariton.com/,Vỉ,10000,,,,1
PVN3988,Bổ phổi Xuyên Tâm Liên,,8936198791456,Ống,5000,,,,1
PVN3987,Xuyên Tâm Liên - Đông trùng,,8936198791500,Lọ,100000,,,,1
PVN3986,Acetyl 200mg,,8936198792606,Ống,6000,,,,1
PVN3985,Calnano MK7 Milk,,8936198792460,Ống,7500,,,,1
PVN3984,Terp Cods,,8935022712858,Vỉ,10000,,,,1
PVN3983,Cefuroxim 500mg - TV,,8935076032926,Vỉ,80000,,,,1
PVN3982,Medoclav 1g,,5290931044364,Vỉ,100000,,,,1
PVN3981,Desloratadin 5mg,,8935076049443,Vỉ,20000,,,,1
PVN3980,Cetirizin 10mg,,8935076027618,Vỉ,10000,,,,1
PVN3979,Aumoxka Mebi 625 DT,,8936039010364,Vỉ,45000,,,,1
PVN3978,Terpinzoat -TV,,8935076003926,Vỉ,10000,,,,1
PVN3977,Spasticon - TV,,8935076047722,Vỉ,15000,,,,1
PVN3976,Neo - Beta 8ml,,8936058823006,Lọ,20000,,,,1
PVN3975,O Fiber Gold - Oxy,,8938554347567,Ống,8000,,,,1
PVN3974,Oxy Bổ huyết,,9966754347185,Lọ,150000,,,,1
PVN3972,Men Bio Bacillus,,89385278378765,Vỉ,20000,,,,1
PVN3973,Men Bio Bacillus - Hộp,,PVN3973,Hộp,100000,,,,1
PVN3971,Kem bôi đêm Transino,,PVN3971,Lọ,750000,,,,1
PVN3969,Atucsol - Ống,,PVN3969,Ống,5000,,,,1
PVN3970,Atucsol - Ống - Hộp,,PVN3970,Hộp,100000,,,,1
PVN3968,Clabact 250mg,,8935206010312,Vỉ,40000,,,,1
PVN3967,Xoang bách Phục,,8938500688591,Hộp,160000,,,,1
PVN3966,Cốm - bé,,8938557235625,Lọ,10000,,,,1
PVN3965,Coldacmin Sinus,,8935206012729,Vỉ,5000,,,,1
PVN3964,Stoccel P,,8935206015089,Gói,5000,,,,1
PVN3963,Difflam - viên ngậm,,9314057013137,Vỉ,30000,,,,1
PVN3962,Bông tẩy trang Nhật Bản,,4903111455546,Hộp,35000,,,,1
PVN3961,Kẹo dẻo bình bú,,PVN3961,Lọ,10000,,,,1
PVN3960,Xypenat - Xanh,,8936034560598,Lọ,30000,,,,1
PVN3959,Xypenat - Cam,,8936034560642,Lọ,35000,,,,1
PVN3958,Kem nẻ Vaseeline - Dừa,,PVN3958,Lọ,50000,,,,1
PVN3957,AT Ibubrufen 10ml,,PVN3957,Ống,10000,,,,1
PVN3956,Gold kozo 870,,PVN3956,Vỉ,50000,,,,1
PVN3955,Sildenafil 100 - HG,,8935206023466,Viên,30000,,,,1
PVN3954,Sildenafil 50 - HG,,8935206023459,Viên,25000,,,,1
PVN3953,Enter Gold - Oxy,,8938554347208,Ống,8000,,,,1
PVN3952,"Alpha chymotrypsin 4,2mg",,8935244600841,Vỉ,10000,,,,1
PVN3951,Sildenafil DHG,,,Viên,30000,,,,1
PVN3950,Cao An phế 110ml,,8935092204284,Lọ,55000,,,,1
PVN3949,Kem đánh răng ích nhi > 6T,,8935092204079,Tub,45000,,,,1
PVN3948,Ích nhi siro - không đường,,8935092203829,Lọ,60000,,,,1
PVN3947,Dầu gừng Ningica,,8935092205748,Lọ,70000,,,,1
PVN3946,Thăng trĩ - ND,,8935092201863,Vỉ,25000,,,,1
PVN3945,Dipesalox 200mg - Cefpodoxim 200mg,,8935022711868,Vỉ,60000,,,,1
PVN3944,Men vi sinh Onebio,,8936102643147,Ống,10000,,,,1
PVN3943,Ngậm ho Eztul,,PVN3943,Vỉ,15000,,,,1
PVN3942,Giải rượu Kolukad,,PVN3942,Vỉ,20000,,,,1
PVN3941,Even Detox - Lọ,,8936102642775,Lọ,220000,,,,1
PVN3940,Coleuscin 500,,8936116605193,Lọ,50000,,,,1
PVN3939,Rintam - Piraceram 1200mg,,PVN3939,Vỉ,40000,,,,1
PVN3938,Siro MG B6,,8936116605322,Ống,5000,,,,1
PVN3937,Citicol 500,,8935358900158,Vỉ,130000,,,,1
PVN3936,Kem dưỡng NMN,,4571365222780,Lọ,150000,,,,1
PVN3935,Miếng dán mụn cóc,,PVN3935,Túi,40000,,,,1
PVN3934,"Drosperin 0,03",,PVN3934,Hộp,150000,,,,1
PVN3933,Yến huyết ăn ngon ĐVC,,8938554225070,Hộp,120000,,,,1
PVN3932,Nữ phụ khang 150ml,,8938554225391,Chai,70000,,,,1
PVN3931,Calcium Gluconate,,8938549361639,Hộp,150000,,,,1
PVN3930,Nấm đông trùng Hạ Thảo,,8936193789885,Hộp,300000,,,,1
PVN3929,O - itchy 10g,,8938554347321,Tub,50000,,,,1
PVN3927,Magnesi B6 - Hà Thành,,8935003300043,Vỉ,5000,,,,1
PVN3928,Magnesi B6 - Hà Thành - Hộp,,PVN3928,Hộp,50000,,,,1
PVN3926,Trà gừng Plus,,8934940034356,Hộp,35000,,,,1
PVN3924,Novo Gascon,,8935356300417,Vỉ,40000,,,,1
PVN3925,Novo Gascon - Hộp,,PVN3925,Hộp,240000,,,,1
PVN3923,Son dưỡng YMN,,PVN3923,Thỏi,150000,,,,1
PVN3922,Kem rau má Unie Centella,,5970803367936,Tub,35000,,,,1
PVN3921,VNP Lada 10g,,8936098966091,Tub,40000,,,,1
PVN3920,Glicer - đặt trĩ,,8936218612723,Viên,10000,,,,1
PVN3919,Golsamin 50ml,,PVN3919,Lọ,80000,,,,1
PVN3918,"Premifla - fluorometholon 0,1",,8936218617568,Hộp,60000,,,,1
PVN3917,Fentuzol 200mg,,8936237490463,Hộp,100000,,,,1
PVN3916,Ginkgo Biloba - Ba Lan,,5999886347611,Vỉ,180000,,,,1
PVN3914,Forxiga 5mg,,PVN3914,Vỉ,273000,,,,1
PVN3915,Forxiga 5mg - Hộp,,PVN3915,Hộp,546000,,,,1
PVN3913,Tiêu khiết thanh Lọ,,8936120630938,Hộp,900000,,,,1
PVN3912,Kem chống nắng B5,,PVN3912,Hộp,270000,,,,1
PVN3911,Siro Quất mật ong 100ml,,PVN3911,Chai,50000,,,,1
PVN3910,Enzozyme (H30g),,PVN3910,Hộp,100000,,,,1
PVN3909,Viên uống đông y,,PVN3909,Viên,5000,,,,1
PVN3908,Omega 369 - Iso,,8936090540978,Lọ,180000,,,,1
PVN3906,Dán Vidogo 102,,8938546203840,Miếng,1000,,,,1
PVN3907,Dán Vidogo 102 - Hộp,,PVN3907,Hộp,34000,,,,1
PVN3905,Bổ thần kinh H9000 - VPC,,8936031641900,Lọ,120000,,,,1
PVN3904,Samtrum 40mg,,8934589065117,Vỉ,100000,,,,1
PVN3903,Sáng da đẹp da Sakuro,,8936095693723,Hộp,350000,,,,1
PVN3902,Gel Nhiệt miệng,,8936204311548,Tub,40000,,,,1
PVN3901,Tanacol 100ml,,8936116601164,Lọ,50000,,,,1
PVN3899,Tanacol Siro Thảo mộc,,,Gói,5000,,,,1
PVN3900,Tanacol Siro Thảo mộc - Hộp,,PVN3900,Hộp,100000,,,,1
PVN3897,Viên nhiệt miệng VPC,,8936031645816,Vỉ,20000,,,,1
PVN3898,Viên nhiệt miệng VPC - Hộp,,PVN3898,Hộp,200000,,,,1
PVN3895,Dán vidogo,,,Miếng,1000,,,,1
PVN3896,Dán vidogo - Hộp,,PVN3896,Hộp,30000,,,,1
PVN3891,Arginine - Cà gai leo,,8936203427752,Vỉ,12500,,,,1
PVN3892,Arginine - Cà gai leo - Hộp,,PVN3892,Hộp,150000,,,,1
PVN3890,Ganthione Premium,,PVN3890,Hộp,220000,,,,1
PVN3888,Liver Gold Detox,,3999220250395,Vỉ,16000,,,,1
PVN3889,Liver Gold Detox - Hộp,,PVN3889,Hộp,190000,,,,1
PVN3886,Vitamin - Trivitamin 3B,,PVN3886,Vỉ,6000,,,,1
PVN3887,Vitamin - Trivitamin 3B - Hộp,,PVN3887,Hộp,60000,,,,1
PVN3884,Ahentreem 4mg,,8936044590073,Gói,10000,,,,1
PVN3885,Ahentreem 4mg - Hộp,,PVN3885,Hộp,280000,,,,1
PVN3883,Efferalgan 250mg,,PVN3883,Gói,4000,,,,1
PVN3880,Candisafe - AD,,PVN3880,Vỉ,150000,,,,1
PVN3878,Bominity - vitamin C ống,,8936098963090,Vỉ,30000,,,,1
PVN3879,Bominity - vitamin C ống - Hộp,,PVN3879,Hộp,120000,,,,1
PVN3876,Yridol - mage,,8936098969672,ống,6000,,,,1
PVN3874,Oxy Multi,,8938554347178,Vỉ,40000,,,,1
PVN3875,Oxy Multi - Hộp,,PVN3875,Hộp,120000,,,,1
PVN3872,Detoxy Liver,,8938554347383,Vỉ,15000,,,,1
PVN3882,Detoxy Liver - Hộp,,PVN3882,Hộp,150000,,,,1
PVN3870,Vitamin E Lyver,,8936101740687,Vỉ,20000,,,,1
PVN3871,Vitamin E Lyver - Hộp,,PVN3871,Hộp,60000,,,,1
PVN3868,Viên ngậm Hooxy,,8938554347543,Vỉ,15000,,,,1
PVN3869,Viên ngậm Hooxy - Hộp,,PVN3869,Hộp,45000,,,,1
PVN3867,O liver Gold,,8938554347062,Vỉ,20100,,,,1
PVN3881,O liver Gold - Hộp,,PVN3881,Hộp,250000,,,,1
PVN3866,TĐCare,,8936065620469,Lọ,150000,,,,1
PVN3865,DHA 250 - Alaska,,8936065624337,Lọ,195000,,,,1
PVN3864,Pencold 100ml,,8936065623699,Lọ,180000,,,,1
PVN3863,Tăm bon mỏng + dày,,4903111331314,Hộp,250000,,,,1
PVN3862,Thymodulin 80,,8938529372037,Vỉ,50000,,,,1
PVN3861,Bao Sensex (12C),,6922954801363,Hộp,50000,,,,1
PVN3859,Koke Magnesium,,5060719100274,Lọ,300000,,,,1
PVN3858,Lợi gan Soha,,8938549594006,Hộp,180000,,,,1
PVN3857,Bổ phế Soha,,8938549594198,Lọ,50000,,,,1
PVN3856,Ho cảm Sohaco,,8938549594228,Chai,50000,,,,1
PVN3855,Desloratadine 50ml - DK,,PVN3855,Lọ,45000,,,,1
PVN3854,Eskar 15ml,,8936058820050,Lọ,22000,,,,1
PVN3853,Dung dịch VS Alpha Care,,8936051940267,Lọ,50000,,,,1
PVN3852,Kem đánh răng Systema,,8806325616764,Tub,65000,,,,1
PVN3851,Sữa tắm Vidal,,8008970056111,Chai,80000,,,,1
PVN3850,Men Oxyzym Plus,,8938554347505,Vỉ,30000,,,,1
PVN3849,Gavist Gold,,8938554347079,Gói,8000,,,,1
PVN3848,Novolax 20g,,8935356300530,Tub,95000,,,,1
PVN3847,Nước rửa dưỡng mắt Novotane,,8935356300806,Lọ,120000,,,,1
PVN3846,Tình dầu hoa anh Thảo Schonheits,,4250382209980,Lọ,450000,,,,1
PVN3845,A -Z (Đức),,4250382209188,Lọ,420000,,,,1
PVN3844,Dưỡng sáng mắt Dr.pretty Eyes,,8938556083593,Lọ,40000,,,,1
PVN3843,Novoteeth 10g,,8935356300165,Tub,50000,,,,1
PVN3842,Salonpas Diclofenac,,14987188500665,Gói,40000,,,,1
PVN3841,Kẹo dẻo Bipp Gunmmy,,PVN3841,Gói,10000,,,,1
PVN3840,9B Đông trùng hạ thảo,,PVN3840,Vỉ,20000,,,,1
PVN3839,Fe- Momferon,,PVN3839,Hộp,120000,,,,1
PVN3838,Oxy Thymo,,PVN3838,hộp,150000,,,,1
8936031641405,E đỏ 800 premium,,8936031641405,Viên,180000,,,,1
PVN3837,Canxi Trucal Aquamin,,8938549361141,Lọ,180000,,,,1
PVN3836,Cao xoa Bách xà,,8935092202891,Lọ,45000,,,,1
PVN3835,Nước súc miệng VNP,,PVN3835,Chai,80000,,,,1
PVN3834,Monithin 30ml,,7936099965223,Lọ,80000,,,,1
PVN3833,Fusome 10g,,8936098966749,Tub,40000,,,,1
PVN3832,Eucol 1.25mg/5ml,,8936098963786,Ống,5000,,,,1
PVN3831,Mỡ máu Soha,,8938549594020,Lọ,150000,,,,1
PVN3830,Dung dịch vệ sinh Chilly Protect,,8002410034974,Lọ,230000,,,,1
PVN3829,Dung dịch vệ sinh Chilly,,8002410037418,Lọ,250000,,,,1
PVN3828,Omega 3 - Sagaba,,6309623003240,Lọ,350000,,,,1
PVN3827,Kẹo bạc hà Ningica,,8935092205397,Gói,15000,,,,1
